"Region","ISOcode","lifetime_risk_percent_colorectum","ci_lower_percent_colorectum","ci_upper_percent_colorectum","lifetime_risk_percent_rectum","ci_lower_percent_rectum","ci_upper_percent_rectum","risk_ratio","country"
"Norway",578,12.802061,12.421311,13.18281,3.313637,3.131854,3.495421,0.258836213950238,"Norway"
"Denmark",208,12.417438,12.085165,12.749712,3.298159,3.133707,3.46261,0.265607043900682,"Denmark"
"Singapore",702,12.102213,11.586509,12.617918,4.102482,3.816323,4.388642,0.33898610113704,"Singapore"
"New Zealand",554,10.795885,10.416764,11.175007,3.264408,3.06727,3.461545,0.302375210554762,"New Zealand"
"Netherlands",528,10.31526,10.142289,10.488231,3.061205,2.971293,3.151118,0.296764696187978,"Netherlands"
"Japan",392,10.063568,10.007813,10.119322,3.261043,3.230421,3.291664,0.324044414466122,"Japan"
"Croatia",191,10.016193,9.677923,10.354463,3.563045,3.369314,3.756776,0.355728468890326,"Croatia"
"Portugal",620,9.682733,9.481601,9.883865,3.175835,3.064086,3.287585,0.327989525271429,"Portugal"
"Hungary",348,9.424237,9.213544,9.634931,3.234795,3.117198,3.352392,0.343242110740636,"Hungary"
"Ireland",372,9.130702,8.751879,9.509526,3.331162,3.103981,3.558344,0.364830874997344,"Ireland"
"Slovakia",703,9.028445,8.703214,9.353676,3.331078,3.142451,3.519705,0.368953679177311,"Slovakia"
"Spain",724,8.87373,8.777147,8.970312,2.695623,2.644876,2.74637,0.303775638880155,"Spain"
"United Kingdom",826,8.779849,8.693766,8.865932,2.771216,2.724475,2.817957,0.315633674337679,"United Kingdom"
"Italy",380,8.688463,8.610542,8.766385,2.280574,2.24182,2.319329,0.262483019148496,"Italy"
"France",250,8.588891,8.507681,8.670101,2.654752,2.611283,2.69822,0.309091359990481,"France"
"Estonia",233,8.485345,7.935624,9.035067,2.867604,2.554667,3.18054,0.337947838302391,"Estonia"
"Uruguay",858,8.454161,8.055385,8.852937,2.211427,2.0146,2.408254,0.2615785292,"Uruguay"
"Sweden",752,8.395596,8.186698,8.604494,2.460942,2.353038,2.568847,0.293122965897835,"Sweden"
"Australia",36,8.383866,8.2391,8.528632,2.243689,2.17321,2.314169,0.267619854611226,"Australia"
"Iceland",352,8.037756,6.804027,9.271485,1.955016,1.36594,2.544092,0.243229080355263,"Iceland"
"Poland",616,7.929255,7.820489,8.038022,3.085483,3.019835,3.151132,0.389126469006231,"Poland"
"Slovenia",705,7.841345,7.406132,8.276557,3.010622,2.748158,3.273086,0.383942040555542,"Slovenia"
"Malta",470,7.756879,6.688285,8.825474,2.258632,1.690436,2.826829,0.291177933805594,"Malta"
"Belgium",56,7.605524,7.422034,7.789015,1.964419,1.874754,2.054084,0.258288449290279,"Belgium"
"Luxembourg",442,7.561031,6.596834,8.525229,1.931128,1.45951,2.402746,0.255405380562519,"Luxembourg"
"Canada",124,7.392986,7.282893,7.50308,2.046932,1.992897,2.100966,0.276874864905736,"Canada"
"Germany",276,7.391548,7.329479,7.453616,2.462541,2.427936,2.497147,0.333156329364296,"Germany"
"Czechia",203,7.338259,7.149429,7.527089,2.550386,2.444429,2.656344,0.34754646844708,"Czechia"
"Finland",246,7.303333,7.05715,7.549516,2.441283,2.303731,2.578836,0.334269709460051,"Finland"
"Greece",300,7.095037,6.930159,7.259914,0.978097,0.918479,1.037714,0.137856504483345,"Greece"
"Switzerland",756,7.057185,6.847756,7.266613,2.164885,2.054337,2.275433,0.306763249085861,"Switzerland"
"Serbia",688,6.954586,6.748669,7.160503,3.231246,3.094387,3.368105,0.464620899072928,"Serbia"
"Belarus",112,6.869258,6.674901,7.063615,2.625205,2.508443,2.741966,0.382167186033775,"Belarus"
"Romania",642,6.848345,6.721422,6.975269,2.659431,2.58285,2.736011,0.388331925450602,"Romania"
"Jamaica",388,6.642059,6.011318,7.272799,1.185371,0.944979,1.425763,0.178464388828826,"Jamaica"
"Israel",376,6.546604,6.281537,6.811671,1.391554,1.280766,1.502342,0.212561199669325,"Israel"
"South Korea",410,6.544329,6.45387,6.634789,2.354177,2.302492,2.405863,0.359727788746562,"South Korea"
"Barbados",52,6.481012,5.274933,7.687091,1.797403,1.170032,2.424774,0.277333694182328,"Barbados"
"Cyprus",196,6.352473,5.752317,6.952628,1.717838,1.40986,2.025816,0.27042035440371,"Cyprus"
"Bulgaria",100,6.332971,6.144701,6.521241,2.114766,2.009675,2.219857,0.333929525336528,"Bulgaria"
"Brunei",96,6.285926,4.90043,7.671423,3.122478,2.166447,4.078508,0.496741132491856,"Brunei"
"Russia",643,6.250293,6.200246,6.300341,2.078739,2.050735,2.106742,0.332582648525437,"Russia"
"Martinique",474,6.13121,5.185351,7.077069,1.609223,1.134429,2.084017,0.262464179175073,"Martinique"
"Cuba",192,6.067836,5.868189,6.267483,0.9399,0.86681,1.01299,0.154898715126777,"Cuba"
"Paraguay",600,6.003215,5.600517,6.405913,0.822688,0.688443,0.956933,0.137041235404696,"Paraguay"
"Moldova",498,6.000435,5.677041,6.323829,2.301478,2.10812,2.494836,0.383551859156878,"Moldova"
"Chile",152,5.650502,5.491482,5.809523,1.513853,1.435626,1.59208,0.267914779961143,"Chile"
"Latvia",428,5.649555,5.297965,6.001145,2.370362,2.147037,2.593688,0.419566142820098,"Latvia"
"Réunion",638,5.546403,4.774481,6.318325,1.806748,1.386234,2.227263,0.325751302240389,"Réunion"
"Puerto Rico",630,5.500021,5.21445,5.785592,1.344542,1.210107,1.478978,0.244461248420688,"Puerto Rico"
"Trinidad & Tobago",780,5.470788,4.691594,6.249981,1.306476,0.98155,1.631401,0.238809473150851,"Trinidad & Tobago"
"Armenia",51,5.446505,5.065931,5.827078,1.183095,1.011239,1.354951,0.217220951784677,"Armenia"
"Philippines",608,5.409187,5.291816,5.526557,1.676632,1.613779,1.739485,0.309960073482392,"Philippines"
"United States",840,5.391283,5.360072,5.422494,1.368153,1.35379,1.382517,0.253771319368692,"United States"
"Argentina",32,5.364723,5.269978,5.459467,0.954141,0.915641,0.99264,0.177854662766372,"Argentina"
"Brazil",76,5.222882,5.169546,5.276217,1.958973,1.927082,1.990863,0.375075102213682,"Brazil"
"New Caledonia",540,5.164474,3.899326,6.429621,1.807268,1.044611,2.569926,0.349942317455756,"New Caledonia"
"Lithuania",440,5.138478,4.863512,5.413443,1.895455,1.731198,2.059711,0.368874791329261,"Lithuania"
"Austria",40,5.134529,4.972417,5.296641,1.533296,1.448297,1.618295,0.298624469742015,"Austria"
"Guadeloupe",312,5.07284,4.257042,5.888638,1.365011,0.972762,1.757259,0.269082210359483,"Guadeloupe"
"Guam",316,5.041437,2.799394,7.28348,1.098603,0.43044,1.766766,0.217914654095648,"Guam"
"Bosnia & Herzegovina",70,5.016247,4.759217,5.273277,2.301458,2.130526,2.472391,0.458800772768964,"Bosnia & Herzegovina"
"Suriname",740,4.926765,3.761077,6.092453,0.77242,0.342152,1.202688,0.156780361961652,"Suriname"
"China",156,4.920508,4.903471,4.937544,2.236013,2.224799,2.247227,0.454427266452976,"China"
"North Macedonia",807,4.879105,4.510944,5.247267,2.226531,1.985876,2.467186,0.456340045971546,"North Macedonia"
"Haiti",332,4.74057,4.337065,5.144076,0.387976,0.294653,0.481299,0.0818416350776383,"Haiti"
"Ukraine",804,4.733362,4.659509,4.807216,2.043601,1.99638,2.090823,0.431744075352783,"Ukraine"
"Malaysia",458,4.651058,4.491109,4.811007,1.952421,1.849632,2.055211,0.419779972642784,"Malaysia"
NA,900,4.643386,4.635209,4.651564,1.613023,1.608434,1.617611,0.347380769119776,NA
"Colombia",170,4.631711,4.515179,4.748243,1.111683,1.057291,1.166076,0.240015622736393,"Colombia"
"Montenegro",499,4.574652,3.93984,5.209463,1.466965,1.120109,1.81382,0.320672479567845,"Montenegro"
"Panama",591,4.420063,4.008466,4.83166,1.006389,0.818877,1.1939,0.227686573698158,"Panama"
"Turkey",792,4.32085,4.249589,4.392111,1.407514,1.369132,1.445896,0.325749331728711,"Turkey"
"Libya",434,4.304653,3.904294,4.705012,1.424888,1.196079,1.653698,0.331011117504709,"Libya"
"Venezuela",862,4.290556,4.147034,4.434077,0.99855,0.935706,1.061393,0.232732074817343,"Venezuela"
"Algeria",12,4.172263,4.037333,4.307193,1.559978,1.479924,1.640031,0.373892537455093,"Algeria"
"Samoa",882,4.135096,2.642241,5.62795,1.552217,0.67311,2.431323,0.375376291142938,"Samoa"
"Costa Rica",188,4.121612,3.822,4.421223,1.139297,0.9881,1.290495,0.276420245282671,"Costa Rica"
"Bahamas",44,4.105168,3.04912,5.161216,1.004598,0.512036,1.497159,0.244715441609211,"Bahamas"
"French Polynesia",258,4.100395,2.400543,5.800247,1.860372,0.678395,3.042348,0.453705557635301,"French Polynesia"
"Mauritius",480,3.986298,3.457049,4.515546,1.098179,0.828777,1.367581,0.275488435636272,"Mauritius"
"Palestinian Territories",275,3.835701,3.335928,4.335474,1.208748,0.931873,1.485622,0.315130923917167,"Palestinian Territories"
"Ecuador",218,3.761429,3.567096,3.955763,0.810589,0.724615,0.896562,0.215500279282156,"Ecuador"
"Dominican Republic",214,3.721742,3.486421,3.957063,0.375878,0.307309,0.444447,0.100995179139231,"Dominican Republic"
"Thailand",764,3.655589,3.591066,3.720112,1.611166,1.569042,1.65329,0.440740466173851,"Thailand"
"French Guiana",254,3.613482,2.280644,4.94632,0.716042,0.204523,1.22756,0.198158452152245,"French Guiana"
"Bahrain",48,3.559262,2.591864,4.526659,0.811101,0.477364,1.144839,0.227884600796457,"Bahrain"
"Georgia",268,3.503273,3.274326,3.73222,1.722708,1.56377,1.881646,0.491742436287437,"Georgia"
"North Korea",408,3.473137,3.374489,3.571785,1.748182,1.680698,1.815667,0.503343807053969,"North Korea"
"Nicaragua",558,3.342893,2.974028,3.711758,0.641551,0.485233,0.797869,0.191914907237533,"Nicaragua"
"Saudi Arabia",682,3.334393,3.136857,3.531929,1.426158,1.299572,1.552743,0.427711430536233,"Saudi Arabia"
"St. Lucia",662,3.286364,1.855908,4.716821,0.636655,0.112603,1.160707,0.193726257955601,"St. Lucia"
"Guyana",328,3.250907,2.224449,4.277365,0.441868,0.078912,0.804824,0.135921452074759,"Guyana"
"Kazakhstan",398,3.245849,3.100588,3.391109,1.430134,1.334605,1.525664,0.440603983734302,"Kazakhstan"
"Peru",604,3.151296,3.051112,3.25148,0.548773,0.507991,0.589555,0.174142003797803,"Peru"
"United Arab Emirates",784,3.08966,2.492366,3.686954,1.260933,0.833257,1.688608,0.408113837768557,"United Arab Emirates"
"Jordan",400,3.080374,2.790987,3.369761,0.773758,0.628119,0.919397,0.251189628272411,"Jordan"
"Lebanon",422,3.022728,2.780224,3.265232,0.725322,0.612978,0.837666,0.239956092642143,"Lebanon"
"Maldives",462,2.961339,1.622755,4.299923,1.193366,0.399968,1.986764,0.402981894339013,"Maldives"
"Vietnam",704,2.937302,2.877724,2.99688,1.561764,1.518904,1.604624,0.531700179280169,"Vietnam"
"Azerbaijan",31,2.919711,2.710598,3.128825,0.924595,0.814584,1.034607,0.316673465284749,"Azerbaijan"
"Syria",760,2.919059,2.71258,3.125538,1.035709,0.904651,1.166768,0.354809203924964,"Syria"
"Qatar",634,2.895508,1.767627,4.023389,1.161433,0.381111,1.941755,0.401115451934514,"Qatar"
"Kuwait",414,2.820241,2.363032,3.27745,0.792106,0.55826,1.025953,0.28086464951045,"Kuwait"
"El Salvador",222,2.717811,2.458006,2.977616,0.38942,0.300908,0.477931,0.143284430006354,"El Salvador"
"Morocco",504,2.70093,2.591924,2.809936,1.042411,0.976146,1.108676,0.385945211464199,"Morocco"
"Laos",418,2.646002,2.378646,2.913359,1.136265,0.961503,1.311028,0.429427113055848,"Laos"
"Tunisia",788,2.610172,2.443365,2.776979,1.121093,1.008004,1.234182,0.429509243069039,"Tunisia"
"Iran",364,2.608501,2.540322,2.676679,0.742232,0.706966,0.777498,0.284543498354036,"Iran"
"Oman",512,2.589944,2.120394,3.059494,1.0238,0.71005,1.33755,0.395298122276003,"Oman"
"Mexico",484,2.513042,2.4598,2.566283,0.520261,0.497699,0.542823,0.207024395135457,"Mexico"
"Cambodia",116,2.47378,2.295582,2.651978,1.110264,0.986749,1.233779,0.448812748102095,"Cambodia"
"Papua New Guinea",598,2.468742,2.165456,2.772029,0.977632,0.782121,1.173143,0.396004118696891,"Papua New Guinea"
"Fiji",242,2.37659,1.651243,3.101936,1.021642,0.532613,1.51067,0.42987726111782,"Fiji"
"Indonesia",360,2.362901,2.327497,2.398305,1.044941,1.02176,1.068123,0.442228007013413,"Indonesia"
"South Africa",710,2.344842,2.274786,2.414898,0.955252,0.911969,0.998535,0.407384378137205,"South Africa"
"Albania",8,2.229524,2.004413,2.454635,0.971387,0.830376,1.112399,0.435692551414562,"Albania"
"Honduras",340,2.166669,1.873153,2.460186,0.602187,0.448038,0.756337,0.277932162226902,"Honduras"
"Guatemala",320,2.162594,1.968662,2.356525,0.172845,0.11726,0.228431,0.0799248495094317,"Guatemala"
"Myanmar (Burma)",104,1.975141,1.899092,2.05119,0.989201,0.933862,1.044541,0.50082551068506,"Myanmar (Burma)"
"Belize",84,1.888271,0.76839,3.008153,0,0,0,0,"Belize"
"Kenya",404,1.784565,1.699048,1.870082,0.564522,0.5169,0.612144,0.316335913794118,"Kenya"
"Sri Lanka",144,1.725707,1.637572,1.813841,0.84332,0.783377,0.903263,0.488680871086459,"Sri Lanka"
"Kyrgyzstan",417,1.681205,1.459526,1.902883,0.859454,0.697774,1.021134,0.511213088231358,"Kyrgyzstan"
"Timor-Leste",626,1.610977,1.078112,2.143842,0.684023,0.321401,1.046644,0.424601344401565,"Timor-Leste"
"Iraq",368,1.599326,1.490515,1.708137,0.589438,0.520899,0.657977,0.368554003373921,"Iraq"
"Zimbabwe",716,1.59896,1.441258,1.756662,0.642922,0.537427,0.748417,0.402087606944514,"Zimbabwe"
"Somalia",706,1.533388,1.349758,1.717018,0.556322,0.446839,0.665805,0.362805760838092,"Somalia"
"Mongolia",496,1.533319,1.240731,1.825908,0.347007,0.20965,0.484364,0.226311028559615,"Mongolia"
"Bolivia",68,1.520157,1.374381,1.665932,0.275945,0.214138,0.337752,0.181524013638065,"Bolivia"
"Benin",204,1.484458,1.277729,1.691187,0.501793,0.37769,0.625895,0.338031119775703,"Benin"
"Uzbekistan",860,1.462615,1.388813,1.536417,0.654211,0.606461,0.701961,0.447288589273322,"Uzbekistan"
"Ethiopia",231,1.440565,1.383869,1.497261,0.581159,0.54455,0.617768,0.403424350862335,"Ethiopia"
"Mali",466,1.360371,1.211259,1.509484,0.580747,0.48583,0.675663,0.426903396205888,"Mali"
"Yemen",887,1.342323,1.239477,1.44517,0.497333,0.436325,0.558342,0.370501734679358,"Yemen"
"Namibia",516,1.297937,1.000528,1.595346,0.49875,0.303096,0.694403,0.38426364299654,"Namibia"
"Eritrea",232,1.287894,0.995587,1.580201,0.604118,0.401413,0.806823,0.469074318228053,"Eritrea"
"Lesotho",426,1.28068,0.95651,1.604849,0.427876,0.24835,0.607403,0.334100634038167,"Lesotho"
"Sudan",729,1.273008,1.170169,1.375847,0.592281,0.52445,0.660113,0.465261019569398,"Sudan"
"Uganda",800,1.248746,1.154157,1.343336,0.474248,0.418014,0.530481,0.379779394688752,"Uganda"
"Togo",768,1.225858,0.988321,1.463395,0.345639,0.213502,0.477777,0.281956800869269,"Togo"
"Tajikistan",762,1.187537,0.987285,1.387788,0.540266,0.404148,0.676383,0.454946666924904,"Tajikistan"
"Turkmenistan",795,1.161953,0.961456,1.36245,0.583009,0.445197,0.72082,0.501749210165988,"Turkmenistan"
"Madagascar",450,1.156896,1.038428,1.275364,0.530539,0.447384,0.613695,0.458588326003375,"Madagascar"
"Burundi",108,1.15528,0.954492,1.356069,0.509611,0.376657,0.642564,0.441114708122706,"Burundi"
"South Sudan",728,1.144355,0.922214,1.366496,0.464907,0.323191,0.606623,0.406261168955438,"South Sudan"
"Tanzania",834,1.136911,1.063878,1.209945,0.51617,0.46227,0.570069,0.454010912023896,"Tanzania"
"Mauritania",478,1.113401,0.88378,1.343022,0.393531,0.249911,0.537152,0.353449475974963,"Mauritania"
"Afghanistan",4,1.102584,0.996051,1.209118,0.475583,0.405928,0.545239,0.431334936839279,"Afghanistan"
"Côte d’Ivoire",384,1.072893,0.975239,1.170548,0.290338,0.237613,0.343063,0.270612260495688,"Côte d’Ivoire"
"Nigeria",566,1.060002,1.026718,1.093286,0.366581,0.348471,0.384691,0.345830479565133,"Nigeria"
"Egypt",818,1.022652,0.978649,1.066655,0.312402,0.288664,0.33614,0.305482216824492,"Egypt"
"Vanuatu",548,0.999475,0.381401,1.617549,0.478769,0.101512,0.856026,0.479020485755021,"Vanuatu"
"Congo - Kinshasa",180,0.993036,0.936969,1.049103,0.44423,0.406685,0.481776,0.447345312758047,"Congo - Kinshasa"
"Pakistan",586,0.982514,0.950974,1.014054,0.371886,0.352245,0.391527,0.378504530215346,"Pakistan"
"Senegal",686,0.954632,0.842065,1.067198,0.385867,0.312788,0.458947,0.404204971130237,"Senegal"
"India",356,0.950094,0.939891,0.960297,0.398269,0.391848,0.40469,0.419189048662553,"India"
"Bhutan",64,0.929961,0.516954,1.342968,0.487741,0.194562,0.78092,0.524474682271622,"Bhutan"
"Cameroon",120,0.927917,0.839742,1.016091,0.380418,0.319553,0.441284,0.409969857217833,"Cameroon"
"Solomon Islands",90,0.924754,0.367471,1.482038,0.474882,0.097102,0.852663,0.513522515177009,"Solomon Islands"
"Djibouti",262,0.905577,0.603316,1.207838,0.361522,0.195911,0.527133,0.399217294608852,"Djibouti"
"Mozambique",508,0.900903,0.780024,1.021782,0.335475,0.264025,0.406925,0.372376382363029,"Mozambique"
"Nepal",524,0.88541,0.811871,0.958948,0.355689,0.30811,0.403268,0.401722365909579,"Nepal"
"Cape Verde",132,0.87294,0.427629,1.31825,0.260779,0.046236,0.475321,0.298736453822714,"Cape Verde"
"Niger",562,0.868225,0.758086,0.978364,0.217886,0.170757,0.265014,0.2509556854502,"Niger"
"Malawi",454,0.838036,0.733459,0.942613,0.330269,0.26854,0.391997,0.39409882153034,"Malawi"
"Zambia",894,0.835137,0.696534,0.973739,0.496113,0.381724,0.610502,0.594049838529487,"Zambia"
"Botswana",72,0.780799,0.568541,0.993058,0.244543,0.14027,0.348816,0.313195841695494,"Botswana"
"Ghana",288,0.762876,0.690293,0.835459,0.299971,0.259168,0.340773,0.393210692170156,"Ghana"
"Gabon",266,0.75813,0.580611,0.935648,0.223282,0.113721,0.332843,0.294516771529949,"Gabon"
"Bangladesh",50,0.746509,0.713765,0.779254,0.359711,0.335952,0.383469,0.481857552956495,"Bangladesh"
"Liberia",430,0.725188,0.536635,0.913742,0.251994,0.129555,0.374432,0.347487823847058,"Liberia"
"São Tomé & Príncipe",678,0.680183,0.185296,1.17507,0.094188,0,0.280364,0.138474498774594,"São Tomé & Príncipe"
"Congo - Brazzaville",178,0.645057,0.497185,0.792928,0.244602,0.169412,0.319792,0.379194396774239,"Congo - Brazzaville"
"Rwanda",646,0.616181,0.514714,0.717648,0.322014,0.246066,0.397962,0.522596444875775,"Rwanda"
"Angola",24,0.596835,0.519692,0.673977,0.185236,0.162195,0.208276,0.310363835901045,"Angola"
"Eswatini",748,0.570635,0.333652,0.807619,0.178509,0.05582,0.301199,0.312825185977026,"Eswatini"
"Comoros",174,0.512648,0.258441,0.766856,0.268883,0.076433,0.461334,0.524498291225168,"Comoros"
"Guinea-Bissau",624,0.499821,0.319074,0.680569,0.193572,0.083719,0.303425,0.387282647187693,"Guinea-Bissau"
"Central African Republic",140,0.495235,0.38843,0.602039,0.186648,0.126911,0.246385,0.376887740163761,"Central African Republic"
"Guinea",324,0.394035,0.313701,0.474369,0.186903,0.130765,0.243042,0.474330960447676,"Guinea"
"Gambia",270,0.344892,0.187049,0.502734,0.267931,0.117665,0.418196,0.776854783526437,"Gambia"
"Equatorial Guinea",226,0.337471,0.229717,0.445224,0.093993,0.032788,0.155197,0.278521710013601,"Equatorial Guinea"
"Burkina Faso",854,0.32466,0.287915,0.361405,0.079261,0.055071,0.103451,0.244135403191031,"Burkina Faso"
"Chad",148,0.275939,0.22085,0.331028,0.141919,0.104045,0.179793,0.514312945977191,"Chad"
"Sierra Leone",694,0.052254,0,0.115012,0.036778,0,0.096634,0.703831285643204,"Sierra Leone"
