"LocationId","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6587946.5,83784
4,5,9,0,0,5895752.5,6860
4,10,14,10,0,5200496,4752
4,15,19,26,17,4631923.5,7188
4,20,24,37,23,4072960,9150
4,25,29,38,25,3348016,8122
4,30,34,55,34,2576735,7023
4,35,39,54,35,1976412,6639
4,40,44,74,43,1613110,7211
4,45,49,93,55,1324159.5,8426
4,50,54,114,76,1038712.5,9715
4,55,59,133,88,781336,10933
4,60,64,144,92,575593,12390
4,65,69,137,85,410757.5,13887
4,70,74,117,76,274530,14985
4,75,79,78,53,166809.5,14619
4,80,84,37,26,74652.5,10604
4,85,999,16,11,28940,6908
8,0,4,0,0,148287,293
8,5,9,0,0,172627.5,35
8,10,14,0,0,166069.5,42
8,15,19,0,0,176824,71
8,20,24,1,0,208455.5,90
8,25,29,4,0,238788.5,118
8,30,34,6,0,226264.5,153
8,35,39,9,0,184629.5,205
8,40,44,16,2,156123,248
8,45,49,22,6,157854.5,394
8,50,54,35,12,175771,653
8,55,59,63,22,183880,1014
8,60,64,77,35,185940.5,1560
8,65,69,74,46,152983.5,2023
8,70,74,68,49,114180,2845
8,75,79,58,48,79696.5,3560
8,80,84,50,40,58955.5,4619
8,85,999,39,32,40277.5,6704
12,0,4,0,0,4862517,20524
12,5,9,0,0,4941797.5,1378
12,10,14,3,0,4221454.5,1232
12,15,19,13,23,3281901,1492
12,20,24,39,42,2846322,1590
12,25,29,65,22,3286152.5,2110
12,30,34,116,16,3617857,2656
12,35,39,241,53,3714473.5,3680
12,40,44,399,133,3368926.5,4688
12,45,49,542,226,2766843.5,5789
12,50,54,740,335,2355453,7470
12,55,59,972,434,1923705,10419
12,60,64,1072,501,1476317,14693
12,65,69,1092,574,1146838.5,20982
12,70,74,894,561,786213.5,25730
12,75,79,649,509,439422,25884
12,80,84,492,471,276146.5,27946
12,85,999,418,480,165049,31013
24,0,4,0,0,6087495.5,89117
24,5,9,0,0,5326462.5,7059
24,10,14,26,0,4535524.5,4519
24,15,19,9,0,3693554.5,5792
24,20,24,16,10,2992351.5,6650
24,25,29,22,12,2575397.5,6746
24,30,34,70,45,2266054,7240
24,35,39,75,34,1912316.5,7906
24,40,44,75,38,1545472,8487
24,45,49,62,51,1241958,9266
24,50,54,98,69,1017352,10796
24,55,59,94,60,822040,12352
24,60,64,90,53,630770.5,14318
24,65,69,87,65,433740,14980
24,70,74,30,19,270670,14773
24,75,79,25,29,165925,14112
24,80,84,11,14,80781.5,10628
24,85,999,15,13,37163.5,8159
31,0,4,0,0,688108,2394
31,5,9,0,0,822180,283
31,10,14,1,1,836794.5,244
31,15,19,4,0,703787,405
31,20,24,5,2,654105,648
31,25,29,8,3,843679,769
31,30,34,15,6,967531.5,938
31,35,39,41,16,866568,1188
31,40,44,68,31,729543,1497
31,45,49,125,59,609274.5,2205
31,50,54,203,119,619689,3716
31,55,59,253,120,618078,5963
31,60,64,335,160,561089,8553
31,65,69,275,138,355458,8504
31,70,74,169,101,209302,7982
31,75,79,92,62,81966,4865
31,80,84,83,64,79834.5,7778
31,85,999,64,52,48317,7940
32,0,4,0,0,2947672,5439
32,5,9,0,0,3710859,737
32,10,14,0,1,3672106,948
32,15,19,16,4,3489288,2179
32,20,24,119,11,3476402,3158
32,25,29,48,57,3517290,3674
32,30,34,60,36,3399523,4101
32,35,39,166,64,3214392,4789
32,40,44,404,143,3153271,6917
32,45,49,731,256,2830371.5,8792
32,50,54,1084,396,2396847,12448
32,55,59,1535,621,2153956.5,17783
32,60,64,1960,875,1981502.5,26875
32,65,69,2255,1115,1731398,37583
32,70,74,2331,1303,1415320.5,48188
32,75,79,2044,1342,1047637,55207
32,80,84,1539,1182,676678.5,58710
32,85,999,1571,1394,593389.5,101946
36,0,4,0,0,1523962,1370
36,5,9,0,0,1613876.5,106
36,10,14,69,0,1640053,8
36,15,19,66,0,1537176.5,8
36,20,24,88,2,1637502.5,8
36,25,29,150,13,1858854.5,9
36,30,34,234,29,1941399,10
36,35,39,359,35,1908182.5,10
36,40,44,476,54,1720349,28
36,45,49,687,93,1637765.5,1152
36,50,54,949,158,1660551,3236
36,55,59,1300,247,1547392,9317
36,60,64,1754,360,1500094,19781
36,65,69,2082,475,1315491.5,12241
36,70,74,2409,626,1155308,19576
36,75,79,2317,911,877684.5,22542
36,80,84,1862,1035,567841,29628
36,85,999,2286,1677,557501.5,85705
40,0,4,0,0,432137.5,317
40,5,9,0,0,441266.5,36
40,10,14,3,0,427028.5,33
40,15,19,4,0,439894,135
40,20,24,6,0,488185.5,198
40,25,29,12,0,588769,249
40,30,34,29,3,630688,384
40,35,39,52,5,620081,476
40,40,44,89,13,596560,628
40,45,49,146,26,589350,1049
40,50,54,271,63,682142.5,1860
40,55,59,426,117,712128,3155
40,60,64,531,160,622569.5,4597
40,65,69,576,216,493921.5,6276
40,70,74,627,314,418525.5,9109
40,75,79,603,375,332743,10823
40,80,84,644,489,309708,15891
40,85,999,520,482,238979,41378
44,0,4,0,0,21884.5,56
44,5,9,0,0,24843.5,5
44,10,14,0,0,27815.5,5
44,15,19,0,0,27943.5,26
44,20,24,1,0,29338.5,50
44,25,29,0,0,33365.5,62
44,30,34,0,0,32163.5,79
44,35,39,0,0,28960.5,95
44,40,44,5,0,27358.5,112
44,45,49,5,3,27453,145
44,50,54,7,5,27630.5,194
44,55,59,9,8,24924,231
44,60,64,13,10,19126,223
44,65,69,12,11,14070.5,331
44,70,74,13,9,10968.5,338
44,75,79,13,7,9340.5,436
44,80,84,8,7,5892.5,432
44,85,999,10,4,4459.5,582
48,0,4,0,0,95927,130
48,5,9,0,0,103321,21
48,10,14,0,0,93320,18
48,15,19,0,0,88548.5,34
48,20,24,2,0,115525.5,57
48,25,29,1,1,164481.5,80
48,30,34,3,1,200035,99
48,35,39,6,2,189605.5,97
48,40,44,5,3,146249,109
48,45,49,9,1,106317.5,146
48,50,54,20,6,76240,172
48,55,59,22,7,59196,239
48,60,64,29,12,41037.5,302
48,65,69,25,10,24981.5,323
48,70,74,14,8,12212.5,281
48,75,79,10,5,8084,312
48,80,84,7,5,4871,324
48,85,999,4,4,3506,467
50,0,4,0,0,16290933.5,99644
50,5,9,0,0,15731965.5,8677
50,10,14,3,1,16709288.5,7161
50,15,19,30,17,17136306.5,24945
50,20,24,134,71,15767602.5,12913
50,25,29,187,121,14851325,13818
50,30,34,295,170,12592453,11543
50,35,39,307,156,12834803.5,15809
50,40,44,423,203,10321258,21337
50,45,49,520,310,8499485.5,31397
50,50,54,639,397,7261302,46409
50,55,59,724,454,6043424,60587
50,60,64,663,395,4952719.5,65320
50,65,69,503,296,3998047.5,81020
50,70,74,432,257,2830641,93932
50,75,79,388,262,1917249.5,96099
50,80,84,265,188,1045673,79984
50,85,999,210,159,600419.5,82595
51,0,4,0,0,176876,355
51,5,9,0,0,198151,26
51,10,14,0,0,197188.5,27
51,15,19,0,0,171509,58
51,20,24,3,0,167725.5,91
51,25,29,0,1,196310,115
51,30,34,7,1,245772.5,197
51,35,39,1,4,231337,271
51,40,44,2,1,204150.5,486
51,45,49,14,6,170078,730
51,50,54,38,16,162896.5,1157
51,55,59,97,34,184555.5,1856
51,60,64,205,69,202255,2987
51,65,69,241,92,150095.5,3528
51,70,74,194,95,99249.5,3760
51,75,79,112,62,44808.5,2759
51,80,84,112,68,46932.5,5050
51,85,999,101,68,30983.5,6111
52,0,4,0,0,15871.5,34
52,5,9,0,0,16292.5,2
52,10,14,0,0,17878,4
52,15,19,0,0,18016,8
52,20,24,0,0,18866.5,13
52,25,29,1,0,17895.5,16
52,30,34,0,0,18718.5,22
52,35,39,0,0,18989,33
52,40,44,2,0,18382,46
52,45,49,8,1,19182.5,67
52,50,54,13,5,19387,97
52,55,59,13,9,19666.5,144
52,60,64,18,14,18852,208
52,65,69,16,12,16089,295
52,70,74,24,17,11939.5,377
52,75,79,20,17,8146.5,477
52,80,84,17,13,4705.5,510
52,85,999,16,14,3440,781
56,0,4,0,0,593583.5,495
56,5,9,0,0,645118,58
56,10,14,6,0,685654,62
56,15,19,6,0,655179.5,172
56,20,24,11,0,670129,242
56,25,29,19,0,722057,336
56,30,34,27,4,770372.5,431
56,35,39,51,4,747838.5,632
56,40,44,102,15,763640.5,1035
56,45,49,188,35,742333,1525
56,50,54,374,76,785609.5,2402
56,55,59,642,140,804462.5,3669
56,60,64,942,212,754581.5,5836
56,65,69,1128,314,654032.5,8653
56,70,74,1228,470,563123.5,12485
56,75,79,1145,546,436594,14605
56,80,84,921,569,303285.5,17297
56,85,999,1159,849,344225.5,49895
64,0,4,0,0,48411,234
64,5,9,0,0,58769.5,23
64,10,14,0,0,64924.5,22
64,15,19,0,0,70744,44
64,20,24,0,0,72475.5,63
64,25,29,0,0,78277.5,73
64,30,34,0,0,81755,90
64,35,39,1,1,68320.5,99
64,40,44,1,1,57181.5,125
64,45,49,2,1,43125.5,155
64,50,54,2,1,35749.5,209
64,55,59,4,2,29082,278
64,60,64,4,2,23324.5,360
64,65,69,4,3,18949.5,482
64,70,74,4,4,12847,551
64,75,79,4,3,8671.5,625
64,80,84,2,1,5050.5,613
64,85,999,2,1,3255.5,752
68,0,4,0,0,1248895,11099
68,5,9,0,0,1227829,1769
68,10,14,0,0,1206630,1030
68,15,19,0,0,1158042,1401
68,20,24,2,0,1112110.5,1988
68,25,29,4,0,1055034.5,2298
68,30,34,7,2,971025.5,2545
68,35,39,12,0,831901,2883
68,40,44,24,17,716816.5,3360
68,45,49,46,32,612934.5,4042
68,50,54,58,31,515517.5,4855
68,55,59,83,39,423370.5,6009
68,60,64,90,42,335330.5,7051
68,65,69,107,66,248355.5,8116
68,70,74,110,76,175835,8794
68,75,79,70,58,123090.5,8999
68,80,84,43,35,66475.5,7467
68,85,999,45,34,47960.5,9061
70,0,4,0,0,133776.5,151
70,5,9,0,0,139109,4
70,10,14,0,0,155805,19
70,15,19,0,0,168050,66
70,20,24,2,0,175986,75
70,25,29,2,0,156816,96
70,30,34,3,1,178018,107
70,35,39,16,3,215993,198
70,40,44,38,10,250170.5,412
70,45,49,72,19,240932.5,700
70,50,54,115,38,212230,1038
70,55,59,184,76,245330,2180
70,60,64,274,147,256267.5,3810
70,65,69,369,204,229326,5423
70,70,74,333,197,173940,6404
70,75,79,193,137,105721.5,6013
70,80,84,152,132,87981,7495
70,85,999,102,122,79349.5,10835
72,0,4,0,0,289053.5,2395
72,5,9,0,0,257192.5,204
72,10,14,0,0,244845.5,156
72,15,19,0,0,249772,277
72,20,24,0,0,247486,395
72,25,29,3,1,253221.5,485
72,30,34,4,2,210819.5,504
72,35,39,8,3,163542.5,524
72,40,44,13,8,124896.5,554
72,45,49,9,1,102294,642
72,50,54,9,3,85955,787
72,55,59,9,2,68073.5,901
72,60,64,10,5,48068,978
72,65,69,8,6,36839.5,1133
72,70,74,7,7,27497.5,1259
72,75,79,6,6,15652.5,1087
72,80,84,3,3,9011.5,935
72,85,999,0,0,5670.5,999
76,0,4,0,0,13628418.5,37481
76,5,9,0,0,14336110.5,2423
76,10,14,28,4,14522576,3234
76,15,19,50,13,15276880.5,15661
76,20,24,171,50,16336263.5,24845
76,25,29,410,96,16318409,25298
76,30,34,343,333,16383995,28600
76,35,39,924,337,16920603.5,37901
76,40,44,1945,621,16103032,48583
76,45,49,3150,1106,14240084,59696
76,50,54,4693,1749,12675564,77386
76,55,59,6488,2599,11793104.5,102959
76,60,64,7638,3351,10211212.5,130209
76,65,69,8022,3806,8038445,150046
76,70,74,7789,3892,5883665,162253
76,75,79,6741,3683,3772704.5,179809
76,80,84,5568,3313,2301760.5,192846
76,85,999,6158,3931,1563586,306351
84,0,4,0,0,36378.5,77
84,5,9,0,0,38101.5,10
84,10,14,0,0,36718,11
84,15,19,0,0,38952,21
84,20,24,0,0,39579,32
84,25,29,0,0,37800.5,43
84,30,34,0,0,34707,52
84,35,39,1,1,30076,64
84,40,44,0,0,25223,87
84,45,49,0,0,21708,122
84,50,54,3,1,18381,158
84,55,59,3,3,14720,191
84,60,64,4,4,11426.5,228
84,65,69,2,2,7855.5,224
84,70,74,2,2,5182,225
84,75,79,1,1,3015.5,196
84,80,84,3,3,1776.5,191
84,85,999,2,2,1132.5,245
90,0,4,0,0,103127,389
90,5,9,0,0,100924,72
90,10,14,0,0,90746,53
90,15,19,0,0,80126,82
90,20,24,0,0,71633.5,103
90,25,29,0,0,58993,92
90,30,34,0,0,52837.5,96
90,35,39,0,0,49860.5,117
90,40,44,2,1,42483,141
90,45,49,1,0,36574.5,185
90,50,54,3,0,28874.5,225
90,55,59,0,0,21228,258
90,60,64,3,1,15316,294
90,65,69,3,6,11262,349
90,70,74,3,0,7900.5,396
90,75,79,2,2,4587.5,381
90,80,84,0,0,2855,393
90,85,999,2,1,1737.5,431
96,0,4,0,0,31645.5,61
96,5,9,0,0,33279.5,7
96,10,14,0,0,31530.5,7
96,15,19,0,0,33327.5,21
96,20,24,0,0,37506,32
96,25,29,0,0,41419.5,37
96,30,34,1,0,41678,45
96,35,39,4,2,39873.5,62
96,40,44,9,3,37043,124
96,45,49,13,3,32570.5,208
96,50,54,20,7,27964.5,269
96,55,59,22,8,21724,290
96,60,64,24,11,17566.5,308
96,65,69,22,9,12446.5,299
96,70,74,15,9,7818.5,274
96,75,79,10,8,4016,233
96,80,84,7,8,2540.5,258
96,85,999,6,9,1419.5,453
100,0,4,0,0,308423,421
100,5,9,0,0,333834.5,58
100,10,14,1,0,350170.5,74
100,15,19,1,0,323764,166
100,20,24,1,0,309822,212
100,25,29,4,0,333769,266
100,30,34,8,3,454035.5,479
100,35,39,19,8,479384,840
100,40,44,44,22,503221,1327
100,45,49,120,56,538664,2516
100,50,54,229,102,503902,3728
100,55,59,382,167,449116.5,5410
100,60,64,654,273,456730,8488
100,65,69,921,393,445091.5,11938
100,70,74,1023,503,411387,15801
100,75,79,814,482,300017,17382
100,80,84,508,382,184590.5,17868
100,85,999,357,368,139942,28546
104,0,4,0,0,4463439,37381
104,5,9,0,0,4443035,4894
104,10,14,0,0,4386553.5,3929
104,15,19,48,0,4478440,7328
104,20,24,61,7,4494784,11422
104,25,29,97,27,4395183.5,11946
104,30,34,83,44,4188612.5,12444
104,35,39,130,59,4177082.5,14996
104,40,44,230,102,3790574.5,17766
104,45,49,366,163,3421905,22487
104,50,54,564,261,3061456.5,29150
104,55,59,660,320,2627923.5,37152
104,60,64,765,403,2130857,45847
104,65,69,822,507,1619429,54274
104,70,74,710,505,1060285.5,56477
104,75,79,491,397,581212.5,50240
104,80,84,321,288,295070.5,41424
104,85,999,204,199,140943.5,34313
108,0,4,0,0,2148639.5,22977
108,5,9,0,0,2097257,7274
108,10,14,1,0,1880328.5,3889
108,15,19,1,0,1449047,4014
108,20,24,4,2,1062521,4036
108,25,29,12,7,906202.5,3737
108,30,34,16,9,875798,4020
108,35,39,17,13,798490,4246
108,40,44,22,12,629365,4191
108,45,49,27,14,427470.5,3479
108,50,54,32,20,309086.5,3470
108,55,59,42,32,225130,3347
108,60,64,54,44,180619.5,4014
108,65,69,52,45,145699,4976
108,70,74,35,32,95690.5,5069
108,75,79,22,22,52864,4455
108,80,84,13,13,25967.5,3483
108,85,999,9,9,10921.5,2527
112,0,4,0,0,428276,200
112,5,9,0,0,584710.5,56
112,10,14,0,0,542781,75
112,15,19,1,0,445863,160
112,20,24,5,1,438140,217
112,25,29,7,1,513354.5,393
112,30,34,17,5,706954.5,1012
112,35,39,40,18,759693,1692
112,40,44,88,12,677044,2472
112,45,49,165,53,633590,3565
112,50,54,305,120,610268,5199
112,55,59,562,231,635283,7896
112,60,64,1003,422,683073,12233
112,65,69,1247,536,543876.5,12895
112,70,74,1156,536,419267.5,13514
112,75,79,634,342,205530.5,11539
112,80,84,528,346,201919.5,18242
112,85,999,402,347,143612.5,30145
116,0,4,0,0,1824962.5,8742
116,5,9,0,0,1736583.5,2276
116,10,14,0,0,1677138.5,1565
116,15,19,1,0,1573309.5,2449
116,20,24,3,1,1364832.5,3028
116,25,29,12,4,1378132.5,3299
116,30,34,30,15,1425897.5,3702
116,35,39,76,35,1326247.5,3884
116,40,44,94,47,1130119,4309
116,45,49,105,48,750291,3647
116,50,54,177,85,768368.5,5628
116,55,59,222,106,687603,6756
116,60,64,225,117,566222.5,8671
116,65,69,235,139,413077,10132
116,70,74,221,153,284714.5,11465
116,75,79,159,128,164604,11019
116,80,84,101,93,86712,9662
116,85,999,65,64,42908,8541
120,0,4,0,0,4344471,65644
120,5,9,0,0,3856846.5,6261
120,10,14,2,0,3420529,3997
120,15,19,2,0,2954957,5192
120,20,24,23,14,2474170.5,6246
120,25,29,33,19,2160326.5,6584
120,30,34,30,18,1907685,7190
120,35,39,48,27,1600946,7890
120,40,44,72,39,1299383.5,8501
120,45,49,96,60,1020701,8953
120,50,54,119,75,793300,9659
120,55,59,132,84,588866.5,9840
120,60,64,119,80,447048,11019
120,65,69,94,68,323131.5,12178
120,70,74,69,53,211457,12815
120,75,79,43,39,132292.5,12623
120,80,84,24,22,66051.5,9749
120,85,999,10,10,30608.5,7687
124,0,4,0,0,1888613.5,1774
124,5,9,0,0,2037981,148
124,10,14,16,0,2109299,198
124,15,19,22,1,2091685.5,665
124,20,24,24,4,2463508,1270
124,25,29,56,16,2686883.5,1838
124,30,34,163,46,2761665.5,2478
124,35,39,343,90,2706776,3336
124,40,44,563,151,2574501.5,4007
124,45,49,856,225,2415115,5350
124,50,54,1292,339,2439833.5,8574
124,55,59,2008,521,2652412.5,16689
124,60,64,2859,738,2639948,25453
124,65,69,3325,880,2309029.5,26099
124,70,74,3508,894,1880176,34679
124,75,79,3215,1640,1378423,39973
124,80,84,2496,2160,879633,44757
124,85,999,2979,3816,905775,120436
132,0,4,0,0,42610.5,85
132,5,9,0,0,49201,8
132,10,14,0,0,49426,6
132,15,19,0,0,46653.5,13
132,20,24,0,0,41599,30
132,25,29,0,0,46415.5,37
132,30,34,1,0,47548.5,46
132,35,39,0,0,41218,87
132,40,44,4,0,33112.5,81
132,45,49,1,1,25978,105
132,50,54,5,1,23181,127
132,55,59,6,0,22065,165
132,60,64,4,0,17839.5,166
132,65,69,4,0,12314,197
132,70,74,1,2,8949.5,284
132,75,79,1,2,5471.5,324
132,80,84,0,3,3655,372
132,85,999,1,4,2503,468
140,0,4,0,0,934537,94165
140,5,9,0,0,825701,21163
140,10,14,5,0,748774,10606
140,15,19,4,0,634278,18985
140,20,24,8,6,508670,27770
140,25,29,6,4,361793,20703
140,30,34,6,3,251725.5,12917
140,35,39,8,8,179207.5,9371
140,40,44,11,7,137131,7804
140,45,49,13,9,113226,7384
140,50,54,15,10,113989,8453
140,55,59,18,18,99306,9074
140,60,64,15,11,80415,9745
140,65,69,14,13,56530.5,9502
140,70,74,11,11,31260,6955
140,75,79,10,10,14300.5,3364
140,80,84,6,6,5666,2067
140,85,999,3,3,1529.5,1008
144,0,4,0,0,1647731,2135
144,5,9,0,0,1734772,216
144,10,14,1,0,1798820,250
144,15,19,3,1,1794252.5,474
144,20,24,3,0,1667941.5,726
144,25,29,15,7,1652090.5,869
144,30,34,21,9,1565618.5,1074
144,35,39,30,11,1576177.5,1638
144,40,44,66,26,1649818.5,2898
144,45,49,119,51,1411731.5,4055
144,50,54,186,90,1336928,6215
144,55,59,279,136,1251499,9186
144,60,64,362,173,1148409.5,13547
144,65,69,422,206,959325.5,18436
144,70,74,423,217,758972,24050
144,75,79,321,178,478297.5,24545
144,80,84,168,101,245556,21370
144,85,999,121,78,157024,27328
148,0,4,0,0,3431648,79610
148,5,9,0,0,2887361,19742
148,10,14,9,0,2429494,9100
148,15,19,16,13,2002058,8900
148,20,24,9,8,1637422.5,9711
148,25,29,31,27,1343176.5,8745
148,30,34,10,9,1081071.5,7728
148,35,39,32,25,863343.5,6986
148,40,44,1,2,708539,6766
148,45,49,35,28,610168.5,6774
148,50,54,28,21,472997.5,6772
148,55,59,8,6,354498,6708
148,60,64,10,8,254186.5,6986
148,65,69,12,9,173264,7194
148,70,74,9,7,108121.5,6980
148,75,79,18,15,57942,5811
148,80,84,0,0,27811.5,4320
148,85,999,0,0,12212,3143
152,0,4,0,0,1021264.5,1035
152,5,9,0,0,1217629,171
152,10,14,0,0,1233248,187
152,15,19,0,0,1211543,505
152,20,24,17,3,1395580,1022
152,25,29,25,8,1589137.5,1329
152,30,34,27,24,1634354.5,1767
152,35,39,48,26,1497425.5,1953
152,40,44,110,44,1376981.5,2611
152,45,49,224,82,1310065.5,3622
152,50,54,372,140,1260079,5387
152,55,59,599,207,1170277,7975
152,60,64,833,308,1034882,10732
152,65,69,1001,410,863341.5,12873
152,70,74,989,468,675289.5,15225
152,75,79,887,496,451383,17767
152,80,84,737,472,296178,20873
152,85,999,909,642,314377.5,43047
156,0,4,0,0,65606014,72370
156,5,9,0,0,90500949,22654
156,10,14,148,50,87909429,23674
156,15,19,239,87,80171426.5,27038
156,20,24,506,185,80852780.5,44220
156,25,29,1554,466,89704202,64666
156,30,34,4125,1264,118128097,99605
156,35,39,6052,1690,109430574.5,107419
156,40,44,10194,2803,95819838.5,141324
156,45,49,20691,6189,104901929.5,242408
156,50,54,47598,13762,122960963.5,488952
156,55,59,57082,17530,113599176.5,673844
156,60,64,60299,20201,69176933,734215
156,65,69,92532,35490,75962979.5,1274663
156,70,74,81043,37415,54531187.5,1461124
156,75,79,59243,35396,31736600.5,1416101
156,80,84,43466,33503,19798118.5,1607203
156,85,999,32334,33979,14388369.5,2497251
170,0,4,0,0,3543741.5,8822
170,5,9,0,0,3529821.5,919
170,10,14,2,1,3767233.5,1267
170,15,19,22,8,4090937.5,4066
170,20,24,75,20,4434691,6584
170,25,29,47,59,4576470.5,7064
170,30,34,74,54,4280871.5,6891
170,35,39,182,84,3911341.5,7098
170,40,44,348,133,3570438,8031
170,45,49,548,202,3183638.5,9224
170,50,54,831,318,2988609,12345
170,55,59,1200,481,2823830,17425
170,60,64,1447,606,2376512.5,23418
170,65,69,1601,729,1806963.5,28068
170,70,74,1547,793,1275621.5,32181
170,75,79,1252,746,835125.5,36518
170,80,84,963,646,454530.5,38335
170,85,999,1024,760,287566,55999
174,0,4,0,0,113418,1161
174,5,9,0,0,105183,102
174,10,14,0,0,96043.5,73
174,15,19,0,0,84663,122
174,20,24,0,0,75992.5,144
174,25,29,0,0,59892,118
174,30,34,0,0,57078.5,131
174,35,39,0,0,51520,156
174,40,44,0,0,45718,193
174,45,49,0,0,36579.5,229
174,50,54,1,1,29597,280
174,55,59,3,2,23343.5,333
174,60,64,3,1,17994,401
174,65,69,4,3,14069.5,493
174,70,74,4,3,10437.5,592
174,75,79,2,2,7547.5,691
174,80,84,0,0,3658.5,519
174,85,999,0,0,1452.5,349
178,0,4,0,0,875680,7582
178,5,9,0,0,839345.5,766
178,10,14,0,0,774842.5,584
178,15,19,0,0,617780,829
178,20,24,3,3,500529,1034
178,25,29,4,2,432358.5,1157
178,30,34,4,2,389514.5,1372
178,35,39,6,4,357227,1730
178,40,44,14,9,315915,2097
178,45,49,22,13,266682.5,2430
178,50,54,27,17,212238.5,2691
178,55,59,33,21,163980.5,2843
178,60,64,20,12,117018.5,2939
